name,building_type,no_rooms,no_hall,area,age,address,price,date,lat,lon,timestamp
優質知名校網 最筍4房實用企理,屋苑,4,2,1749,-1,港島 西半山 羅便臣道31號,95000,07-05-2021,22.2825531,114.1422269,1.62035E+12
優質知名校網 最筍2房實用企理,屋苑,2,2,512,-1,港島 跑馬地 雅谷大廈,33000,07-05-2021,22.2718711,114.18487582594484,1.62035E+12
近地鐵站最筍1房 樓齡新罕有放盤,屋苑,1,1,328,-1,港島 筲箕灣 柏匯,18000,07-05-2021,22.281489,114.22094100000001,1.62035E+12
12名校網 最筍3房樓齡新,屋苑,3,2,1280,-1,港島 跑馬地 樂天峯,75000,07-05-2021,22.2720951,114.18643187925207,1.62035E+12
開放式靚裝樓齡新 豪華靚裝,屋苑,-1,-1,194,-1,港島 北角 尚譽,13000,07-05-2021,22.29118115,114.19620217813969,1.62035E+12
最筍2房光猛企理,屋苑,2,2,391,-1,港島 鰂魚涌 南豐新邨_03座,17500,07-05-2021,22.28193335,114.21468350377359,1.62035E+12
最筍1房光猛企理,屋苑,1,2,351,-1,港島 上環/中環 匡景居,20000,07-05-2021,22.2831707,114.15141318087649,1.62035E+12
最筍2房豪華靚裝,屋苑,2,0,325,-1,港島 跑馬地 金翠樓,38000,07-05-2021,22.2709534,114.18505518861608,1.62035E+12
最筍2房睇樓從速,屋苑,2,1,326,-1,港島 北角 莊士維港軒,20000,07-05-2021,22.2914794,114.19547089750394,1.62035E+12
臨近灣仔港鐵12名校網 開放式靚裝,屋苑,-1,-1,344,-1,港島 灣仔 嘉薈軒,17000,07-05-2021,22.27624405,114.1711172812316,1.62035E+12
最筍2房光猛企理,屋苑,2,0,439,-1,港島 上環/中環 金帝軒,24000,07-05-2021,22.28402355,114.14621650987019,1.62035E+12
最筍2房隨時睇樓,屋苑,2,2,437,-1,港島 北角 盈富閣,18500,07-05-2021,22.291997350000003,114.19767548760665,1.62035E+12
最筍3房光猛企理,屋苑,3,2,549,-1,港島 北角 曉峯,27000,07-05-2021,22.28941685,114.19891786640486,1.62035E+12
近地鐵站最筍1房 豪華靚裝,屋苑,1,1,200,-1,港島 北角 港逸軒,12000,07-05-2021,22.291252399999998,114.19846669478767,1.62035E+12
近地鐵站最筍3房 價格超抵手慢無,屋苑,3,0,479,-1,港島 北角 利都樓,19300,07-05-2021,22.2891488,114.19404798122324,1.62035E+12
最筍2房罕有放盤,屋苑,2,0,395,-1,港島 西半山 美樂閣,22000,07-05-2021,22.282217,114.149318,1.62035E+12
最筍4房罕有放盤,屋苑,4,2,1723,-1,港島 中半山/金鐘 百年順大廈,65000,07-05-2021,22.27582055,114.1572683504657,1.62035E+12
最筍1房筍盤推介,屋苑,1,1,346,-1,港島 上環/中環 嘉威花園,20000,07-05-2021,22.28378095,114.14653993350082,1.62035E+12
最筍2房超平筍盤,屋苑,2,2,505,-1,港島 西半山 明苑,20000,07-05-2021,22.27964765,114.15121766077348,1.62035E+12
開放式靚裝樓齡新 實用企理,屋苑,-1,-1,170,-1,港島 北角 尚譽,11000,07-05-2021,22.29118115,114.19620217813969,1.62035E+12
最筍2房乾淨舒適,屋苑,2,0,360,-1,港島 西半山 豪景閣,16000,07-05-2021,22.28444555,114.14561308931397,1.62035E+12
近時代廣場3房實用交通便捷!,單棟式大廈,3,1,439,-1,港島 灣仔 寶靈頓道8號,15800,07-05-2021,22.2783107,114.1806489,1.62035E+12
上環商業區罕有平價獨立單位1房1廳包傢電,單棟式大廈,1,1,200,-1,港島 上環/中環 上環永樂街161號,9500,07-05-2021,22.2873795,114.1487444,1.62035E+12
富豪地產~ 企理高層 近輕鐵巴士站,單棟式大廈,2,1,329,-1,港島 灣仔 四寶大厦,8500,07-05-2021,22.27780025,114.17093660063983,1.62035E+12
灣仔2房2廳高層近金鐘站開揚南向差餉地租,唐樓,2,2,492,-1,港島 灣仔 皇后大道東25,18500,07-05-2021,22.2779053,114.1673983,1.62035E+12
"**鄰近時代廣埸,內街清靜**",單棟式大廈,-1,-1,269,-1,港島 銅鑼灣 登龍街,11300,07-05-2021,22.2793645,114.1825968,1.62035E+12
靚裝，傢電齊，近時代廣場，唐2樓,單棟式大廈,-1,-1,140,-1,港島 灣仔 堅拿道西24號,5500,07-05-2021,22.276709,114.1809955,1.62035E+12
天后/大坑近天后站,唐樓,-1,-1,120,-1,港島 天后/大坑 香港電氣道97號1/F,6000,07-05-2021,22.2849812,114.1917136,1.62035E+12
開放式 包差餉地租/地稅管理費,單棟式大廈,-1,-1,220,-1,港島 西區 適安大廈,8200,07-05-2021,22.28515395,114.13561061123096,1.62035E+12
"**靚套房,高層,交通方便**",單棟式大廈,-1,-1,120,-1,港島 灣仔 軒尼詩道,6800,07-05-2021,22.2801455,114.1848329,1.62035E+12
"交通方面,靜中蔕旺",唐樓,-1,-1,90,-1,港島 銅鑼灣 駱克道543號,4200,07-05-2021,22.2799917,114.181096,1.62035E+12
豪裝齊傢俬WIFI套房,單棟式大廈,-1,-1,150,-1,港島 銅鑼灣 禮頓道64號,6500,07-05-2021,22.2770275,114.1820964,1.62035E+12
港島東區罕有舒適靚裝1房1廳地鐵近在咫尺,唐樓,1,1,160,-1,港島 筲箕灣 金華街31號,6300,07-05-2021,22.2778493,114.2299388,1.62035E+12
"鄰近地鐵站,四正實用,業主免佣",屋苑,-1,-1,100,-1,港島 西區 業昌大廈,4800,07-05-2021,22.2864583,114.13511023338336,1.62035E+12
"旺區,開陽景觀,四正實用,業主免佣",唐樓,-1,-1,120,-1,港島 灣仔 東寶樓,4600,07-05-2021,22.2790614,114.17569747130563,1.62035E+12
"地鐵站旁,街窗,間隔四正,業主免佣",唐樓,-1,-1,110,-1,港島 西區 德輔道西230號,4000,07-05-2021,22.2883554,114.1480917,1.62035E+12
荀~唐樓.連天台.,單棟式大廈,2,1,451,-1,港島 灣仔 交加街,11500,07-05-2021,22.2756095,114.1736927,1.62035E+12
"交通便利,四正實用,業主免佣,陽光充足",唐樓,-1,-1,140,-1,港島 西區 東邊街14號,6800,07-05-2021,22.2881092,114.1438017,1.62035E+12
"康山花園,企理裝修2房,有圖有真相",屋苑,2,1,484,-1,康山花園   港島 鰂魚涌 英皇道1110-1128號,17500,07-05-2021,22.2853248,114.2170118,1.62035E+12
平租，靚裝套房 傢電齊,單棟式大廈,-1,-1,130,-1,港島 灣仔 樂友,6000,07-05-2021,22.2850394,114.1583819,1.62035E+12
靚裝英式平房 獨家有匙,單棟式大廈,2,2,636,48,港島 北角 繼園街10號,18500,07-05-2021,22.2908558,114.2033054,1.62035E+12
罕有靚裝高空平台，130呎大平台,單棟式大廈,2,1,346,-1,港島 灣仔 鴻業大廈,18000,07-05-2021,22.2780815,114.1793086857227,1.62035E+12
波斯富街套房，合一人住，近港鐵,唐樓,-1,-1,120,-1,港島 銅鑼灣 波斯富街,5800,07-05-2021,22.281099,114.1821869,1.62035E+12
"591好推介,灣仔囍匯一房一廳中層遠樓景",屋苑,1,1,339,-1,囍匯   港島 灣仔 利東街,19500,07-05-2021,22.2750003,114.1720182,1.62035E+12
波斯富街套房，合一人住，近時代廣場,唐樓,-1,-1,100,-1,港島 銅鑼灣 波斯富街,5300,07-05-2021,22.281099,114.1821869,1.62035E+12
灣仔道名厦廣生行2房向南簇新靚裝修,單棟式大廈,2,1,392,-1,港島 灣仔 灣仔道188號,15900,07-05-2021,22.2779207,114.1796555,1.62035E+12
銅鑼灣波斯富街，唐樓套房,唐樓,-1,-1,80,-1,港島 銅鑼灣 波斯富街,4000,07-05-2021,22.281099,114.1821869,1.62035E+12
"鄰近維園,靚裝修,大露台,開放式廚房",單棟式大廈,3,2,857,-1,港島 銅鑼灣 百德新街,36000,07-05-2021,22.2819639,114.1850067,1.62035E+12
"杏花邨,雅裝性價比最高2房租,大行真筍盤",屋苑,2,1,475,-1,杏花邨   港島 柴灣 盛泰道100號,16000,07-05-2021,22.2771176,114.2404742,1.62035E+12
"多窗實用兩房, 清靜有裝有家電",單棟式大廈,2,1,328,-1,港島 灣仔 恒信大廈,12500,07-05-2021,22.278547000000003,114.17098225000001,1.62035E+12
企理開放式 傢電齊 拎包即住,單棟式大廈,-1,-1,110,-1,港島 灣仔 軒尼詩道310號,6000,07-05-2021,22.2801455,114.1848329,1.62035E+12
"鄰近時代廣場,唐樓實用率高",單棟式大廈,3,1,442,-1,港島 灣仔 天樂里,13800,07-05-2021,22.2785405,114.1796716,1.62035E+12
灣仔名廈，12校網,屋苑,3,1,580,-1,港島 灣仔 愉景樓,21800,07-05-2021,22.27679215,114.18067927263127,1.62035E+12
西區2房2廳高層靚景豪華裝潢近西營盤,單棟式大廈,2,2,421,-1,港島 西區 忠正街8號,28500,07-05-2021,22.2873525,114.1412677,1.62035E+12
"中層山海景,光猛,開放式 有匙",單棟式大廈,-1,-1,265,41,港島 西區 恒裕大廈,12200,07-05-2021,22.28707895,114.13815020509134,1.62035E+12
南豐新邨 高層開揚三房筍租,屋苑,3,1,516,-1,南豐新邨   港島 鰂魚涌 基利坊15-27號,17000,07-05-2021,22.2822462,114.214521,1.62035E+12
"新裝修， 連家具， 一房, 免佣",屋苑,1,1,400,-1,港島 跑馬地 成和道 37-39號,21800,07-05-2021,22.2693883,114.1854344,1.62035E+12
靚裝套房 新凈企理獨立廚廁有窗隨時睇免傭,屋苑,-1,-1,113,-1,港島 筲箕灣 筲箕灣康祥街4號太順樓,4600,07-05-2021,22.283825399999998,114.22137637589466,1.62035E+12
灣仔企理裝連天18800,屋苑,1,0,351,-1,港島 灣仔 華欣閣,18800,07-05-2021,22.2762058,114.1743644,1.62035E+12
獨立房間，2000元，收信580元/月,屋苑,-1,-1,1300,-1,港島 鰂魚涌 民新大廈,2000,07-05-2021,22.2900176,114.20912288403393,1.62035E+12
"荷李活道獨立浴室套房,包水電,寬頻,清潔",單棟式大廈,-1,-1,160,-1,港島 上環/中環 Hollywood Rd,10000,07-05-2021,22.2849544,114.1492009,1.62035E+12
"銅鑼灣獨立浴室套房,包水電,寬頻,清潔",唐樓,-1,-1,130,-1,港島 銅鑼灣 4 Cannon St,5600,07-05-2021,22.2808844,114.1836896,1.62035E+12
唐楼2/F靓裝修套房,唐樓,-1,-1,90,-1,港島 筲箕灣 金華街41号,3900,07-05-2021,22.2778493,114.2299388,1.62035E+12
天后清風街 唐樓套房,唐樓,-1,-1,110,-1,港島 天后/大坑 清風街,5500,07-05-2021,22.2847306,114.1918098,1.62035E+12
銅鑼灣頂層雅緻獨立單位套房,單棟式大廈,-1,-1,130,-1,港島 銅鑼灣 軒尼詩道459-465號,6900,07-05-2021,22.2801455,114.1848329,1.62035E+12
禮頓道2房新裝修高層清靜,單棟式大廈,2,1,450,-1,港島 銅鑼灣 禮智大廈,14000,07-05-2021,22.2774321,114.18413130502532,1.62035E+12
香港遨舍衛蘭軒長租住宿優惠-開放式套房,單棟式大廈,-1,-1,365,-1,港島 灣仔 軒尼詩道22號,18000,07-05-2021,22.2801455,114.1848329,1.62035E+12
"杏花邨,最貼市價3房套租,來電即看現樓",屋苑,3,2,614,-1,杏花邨   港島 柴灣 盛泰道100號,20000,07-05-2021,22.2771176,114.2404742,1.62035E+12
香港遨舍衛蘭軒長租住宿優惠-標準客房,單棟式大廈,-1,-1,215,-1,港島 灣仔 軒尼詩道22號,9900,07-05-2021,22.2801455,114.1848329,1.62035E+12
近地鐵站11名校網 最筍1房,屋苑,1,1,290,-1,港島 上環/中環 海景大廈,19000,07-05-2021,22.287450399999997,114.19096522946596,1.62035E+12
最筍3房罕有放盤,屋苑,3,2,996,-1,港島 跑馬地 翠景樓,44000,07-05-2021,22.2709534,114.18505518861608,1.62035E+12
近地鐵站最筍2房 超平筍盤,屋苑,2,2,529,-1,港島 鰂魚涌 康怡花園_F座,17500,07-05-2021,22.28114965,114.21637463577076,1.62035E+12
臨近太古港鐵最筍3房 隨時睇樓,屋苑,3,2,668,-1,港島 鰂魚涌 康怡花園_A座,25000,07-05-2021,22.2797313,114.21385967062841,1.62035E+12
跑馬地單位出租 無需佣金,屋苑,2,1,400,-1,港島 跑馬地 綿發街,17000,07-05-2021,22.2689697,114.1865801,1.62035E+12
"市場小有,洋樓雅裝優質大套房",單棟式大廈,-1,-1,110,-1,港島 西區 偉安樓,5600,07-05-2021,22.28526325,114.13907846488574,1.62035E+12
"全新裝修,近地鐵站,優質大套房單位",單棟式大廈,-1,-1,110,-1,港島 上環/中環 永樂街,4800,07-05-2021,22.2873795,114.1487444,1.62035E+12
特大靚套房（有電梯）,屋苑,-1,-1,200,55,港島 太古/西灣河 康祥街8號,6900,07-05-2021,22.283915,114.221735,1.62035E+12
跑馬地單位 開放式中層,唐樓,-1,-1,186,28,港島 跑馬地 昇平街,7800,07-05-2021,22.2681808,114.1871332,1.62035E+12
上環文咸西街大套房家電齊,單棟式大廈,1,0,180,-1,港島 上環/中環 文咸西街52號,8800,07-05-2021,22.2864594,114.1492265,1.62035E+12
静中带旺，近炮台山地铁站，3房抵租,單棟式大廈,3,1,441,-1,港島 北角 永顺大厦,17300,07-05-2021,22.3152569,114.22440503903975,1.62035E+12
"交通方便, 環境舒適",屋苑,-1,-1,100,40,港島 北角 民眾大廈,5800,07-05-2021,22.28800055,114.19296968861534,1.62035E+12
唐樓向南，新裝，近地鐵，獨立廚廁，免佣,唐樓,-1,-1,110,-1,港島 筲箕灣 東大街148號,5500,07-05-2021,22.279618,114.230154,1.62035E+12
跑馬地高級住宅,屋苑,1,1,411,-1,港島 跑馬地 Eight Kwai Fong,28000,07-05-2021,22.266693250000003,114.18721756715054,1.62035E+12
銅鑼灣智選假日酒店服務式長期住宿計劃,屋苑,-1,-1,220,-1,港島 銅鑼灣 霎東街33號,9999,07-05-2021,22.2780518,114.1831225,1.62035E+12
【苹果宿舍】西營盤免佣全包單人獨立房,唐樓,1,0,30,-1,港島 西區 西營盤東邊街,3000,07-05-2021,22.2881092,114.1438017,1.62035E+12
上環，獨立大套房，環境舒適，寧靜！,單棟式大廈,1,0,400,-1,永樂街   港島 上環/中環 永樂街,13000,07-05-2021,34.8661185,110.4446202,1.62035E+12
灣仔企理裝連天台18500,屋苑,1,0,351,-1,港島 灣仔 華欣閣,18500,07-05-2021,22.2762058,114.1743644,1.62035E+12
一房出租，交通方便，房間配備高掛儲物櫃,屋苑,1,1,70,-1,港島 柴灣 曉翠街 7 號,4800,07-05-2021,22.2631481,114.2466362,1.62035E+12
多街窗光猛近地鐡站套房-免佣,單棟式大廈,-1,-1,120,48,港島 西區 卑路乍街67-83,7500,30-04-2021,22.2856572,114.1324862,1.61974E+12
銅鑼灣套房出租,唐樓,-1,-1,80,-1,港島 銅鑼灣 波斯富街,4800,28-04-2021,22.281099,114.1821869,1.61957E+12
三房精選，地鐵上蓋,單棟式大廈,3,1,480,-1,港島 灣仔 洛克道144號,15800,28-04-2021,22.2794613,114.179676,1.61957E+12
"SOHO品味生活,鄰近半山行天橋",屋苑,-1,-1,300,44,港島 上環/中環 均發樓,18500,25-04-2021,22.3619031,114.10275435689152,1.61931E+12
灣仔地鐵站旁清靜光猛大窗3房間包Wifi,單棟式大廈,3,0,800,-1,港島 灣仔 駱克道167-169號,22000,21-04-2021,22.2794613,114.179676,1.61896E+12
匯賢大廈 優質商住大廈,單棟式大廈,-1,-1,270,-1,港島 香港仔 田灣石排灣道55-61號,10000,16-04-2021,22.249348,114.142349,1.61853E+12
租金包水電1分鐘到地鐵站超方便全新裝修,唐樓,-1,-1,120,-1,港島 西區 84高昇街,7200,21-09-2020,22.2878189,114.1453897,1.60065E+12
近銅鑼灣廣場，交通方便，平地電梯,單棟式大廈,1,0,100,50,港島 灣仔 洛克道395號,4000,28-02-2020,22.2794613,114.179676,1.58285E+12
唐三樓大房大廳靚裝,單棟式大廈,1,1,508,-1,港島 銅鑼灣 耀華街,13000,07-08-2020,22.2776747,114.182433,1.59676E+12
名校校网区，上学上班都方便。可选的好地方,單棟式大廈,1,1,320,25,港島 西區 皇后大道西399-401,13500,24-06-2020,22.2866101,114.1482057,1.59296E+12
靚裝 高層有 近地鐵 傢電WIFI,單棟式大廈,1,0,130,-1,港島 北角 英皇道,6200,11-04-2020,22.2895278,114.1947001,1.58656E+12
洋楼 豪装 齐傢電 包wifl,單棟式大廈,-1,-1,120,-1,港島 北角 春秧街65號,5800,21-09-2019,22.2914323,114.1985343,1.56902E+12
保証實景洋樓街窗靚裝修有傢電,單棟式大廈,-1,-1,130,-1,港島 北角 春秧街61,6800,24-07-2019,22.2914323,114.1985343,1.56393E+12
有電梯有傢電包wifi有保安員全新近地鐵,單棟式大廈,-1,-1,100,-1,港島 銅鑼灣 禮顿道64號,5000,15-06-2019,22.2770275,114.1820964,1.56056E+12
業主自讓。靚裝、優質翠綠山景,屋苑,2,2,668,31,康怡   港島 鰂魚涌 康怡花園,27000,02-10-2018,22.283586399999997,114.21709718060893,1.53844E+12
獨立單位不是套房全新裝修齊家電,唐樓,-1,-1,138,-1,港島 銅鑼灣 利園山道13號,6800,20-03-2018,22.2793173,114.1834816,1.5215E+12
業主免佣、交通方便、四正靚裝2廳1房單位,單棟式大廈,2,1,330,40,港島 灣仔 香港灣仔道70號富利大廈,16000,10-11-2017,22.276368050000002,114.17457529021739,1.51027E+12
業主盤、免佣！新裝修，東南，舒適安樂窩,屋苑,2,1,391,-1,南豐新邨   港島 鰂魚涌 基利坊15-27號,18800,25-09-2017,22.2822462,114.214521,1.5063E+12
名室内設計師豪裝 交通便利 旺中帶静,唐樓,3,2,478,-1,港島 北角 和富道64號,18000,20-05-2017,22.291559,114.1953673,1.49524E+12
中環，上環大套房，無敵海景,屋苑,-1,-1,300,-1,上環   港島 上環/中環 上環干諾道西8-14號嘉安大廈,16000,15-05-2017,22.28755315,114.14979975315326,1.49481E+12
港鐵上蓋 校網好,屋苑,2,1,401,-1,修頓花園   港島 灣仔 柯布連道2號,21000,15-05-2017,22.2777064,114.17299,1.49481E+12
*靚裝免佣，交通方便，旺中帶靜,單棟式大廈,2,1,375,-1,港島 銅鑼灣 霎西街17號,16000,04-02-2017,22.2776321,114.1805682,1.48617E+12
近地鐵站，特大高私隱寧靜園林露台,唐樓,-1,-1,328,32,港島 灣仔 皇后大道東104號,15000,31-01-2017,22.2779053,114.1673983,1.48582E+12
港島低密度單位（連車位，可養狗，免佣）,唐樓,1,1,354,-1,港島 跑馬地 鳳輝臺,16800,03-10-2016,22.26835,114.18321,1.47545E+12
全新裝修未住過大套房,唐樓,-1,-1,140,-1,港島 銅鑼灣 白沙道,7000,31-07-2016,22.2788982,114.1836635,1.46992E+12
廳大房大 兩個會所 減價求好客,屋苑,2,1,530,-1,泓都   港島 西區 堅彌地城新海旁38號,22000,04-06-2016,22.2840138,114.1294094,1.465E+12
湾仔道麥當勞唐4楼獨立厨厠街窗齊家電,唐樓,-1,-1,130,-1,港島 灣仔 湾仔道121号,5500,07-05-2021,22.2779207,114.1796555,1.62035E+12
"獨立門口,四正實用,鄰近地鐵站,業主免佣",屋苑,-1,-1,90,-1,港島 西區 聯德大廈,4800,30-04-2021,22.2876896,114.14353057493017,1.61974E+12
銅鑼灣近時代廣場3分鐘到地鐵，開放式套房,唐樓,-1,-1,150,-1,港島 銅鑼灣 波斯富街,5500,30-04-2021,22.281099,114.1821869,1.61974E+12
世貿中心唐楼獨立厨厕光猛街窗家電齊全,唐樓,-1,-1,150,-1,港島 銅鑼灣 謝菲道526号,6200,29-04-2021,22.2810772,114.1823641,1.61965E+12
鄰近地鐵站，四正實用，業主免佣,單棟式大廈,-1,-1,140,-1,港島 西區 新安大廈,4800,27-04-2021,22.3132301,114.16899827752843,1.61948E+12
銅鑼灣寶漢大廈 免佣 30秒到地鐵,單棟式大廈,-1,-1,110,-1,港島 銅鑼灣 寶漢大廈,6000,24-03-2021,22.280678199999997,114.18258377751133,1.61654E+12
上環一房一廳家電齊,單棟式大廈,1,1,130,-1,港島 上環/中環 上環文咸西街52號,7800,21-03-2021,22.2864594,114.1492265,1.61628E+12
上環地鐵站出口一房一廳傢電齊,單棟式大廈,1,1,180,-1,港島 上環/中環 上環文咸西街52號,8000,06-03-2021,22.2864594,114.1492265,1.61499E+12
波斯富街近時代廣場，兩房有露台,唐樓,2,1,370,-1,港島 銅鑼灣 波斯富街,12000,04-03-2021,22.281099,114.1821869,1.61482E+12
"全新裝修一房 ,充足陽光,業主免佣",唐樓,1,0,351,-1,港島 西區 高街25號,15500,23-02-2021,22.2851629,114.1422307,1.61404E+12
富苑潮装修2房一廰家电齊全拎包入住,單棟式大廈,2,1,320,39,富苑   港島 灣仔 灣仔道39-49號,13800,20-02-2021,22.2779207,114.1796555,1.61378E+12
新光商圈大昌楼光窗独立厨厕电梯近地铁,單棟式大廈,-1,-1,140,-1,港島 北角 英皇道461号,5000,11-02-2021,22.2899004,114.1950443,1.613E+12
时代广场唐楼230呎光猛街窗一房一廰,唐樓,-1,-1,300,45,港島 銅鑼灣 耀華街30号,11800,09-02-2021,22.2775941,114.1821285,1.61283E+12
大道西套房，五分鐘到港鐵站',唐樓,-1,-1,150,-1,港島 西區 皇后大道西,6200,07-02-2021,22.2866101,114.1482057,1.61266E+12
近時代廣場，合單人住，4分鐘到港鐵,唐樓,-1,-1,150,-1,港島 銅鑼灣 波斯富街,6500,31-01-2021,22.281099,114.1821869,1.61205E+12
正街近港鐵站套房,唐樓,-1,-1,150,-1,港島 西區 正街,6300,24-01-2021,22.2877837,114.14235,1.61145E+12
免佣套房 齊傢電冷暖氣煤氣爐大衣櫃油壓床..,單棟式大廈,-1,-1,150,-1,港島 銅鑼灣 百德新街,9200,24-01-2021,22.2819639,114.1850067,1.61145E+12
"交通便利,靜中帶旺,業主自讓免佣",唐樓,1,0,100,-1,港島 香港仔 香港仔大道192號,3600,20-01-2021,22.2480417,114.1558101,1.6111E+12
全新裝修三房實用，地鐵上蓋，中心旺地。,單棟式大廈,3,0,486,56,港島 灣仔 157號 駱克道,18000,23-12-2020,22.2794613,114.179676,1.60868E+12
免佣，長短租，近地鐵，铜纙灣服務式住宅,單棟式大廈,-1,-1,110,-1,港島 銅鑼灣 加寧街9-11號,10300,14-12-2020,22.2821738,114.1856498,1.6079E+12
波斯富街套房，合1至2人住,唐樓,-1,-1,120,-1,港島 銅鑼灣 波斯富街,4300,12-12-2020,22.281099,114.1821869,1.60773E+12
"中環近威靈頓街靚裝套房,近港鐡",唐樓,-1,-1,120,-1,港島 上環/中環 士他花利街,5300,10-12-2020,22.2840088,114.1537597,1.60756E+12
免佣中環租庇利街-服務式住宅,屋苑,-1,-1,130,-1,港島 上環/中環 租庇利街,9300,07-12-2020,22.2845713,114.1557425,1.6073E+12
"長短也可,沒佣金，近銅鑼灣地鐵站",屋苑,-1,-1,100,-1,港島 銅鑼灣 渣甸坊,6000,02-12-2020,22.2792627,114.1848805,1.60687E+12
近時代廣場套房，合1~2人住,唐樓,-1,-1,140,-1,港島 銅鑼灣 波斯富街,6200,27-11-2020,22.281099,114.1821869,1.60644E+12
香港仔大道4/F唐五樓-特長免租期,屋苑,2,1,503,50,港島 香港仔 香港仔大道148號,12000,24-11-2020,22.2480417,114.1558101,1.60618E+12
渣甸坊唐楼独立厨厕家电齐地铁F出口,唐樓,-1,-1,120,45,港島 銅鑼灣 渣甸坊37号,5400,14-11-2020,22.2792627,114.1848805,1.60531E+12
免佣 長康大厦一房一廰光窗独立厨厕密码闸,單棟式大廈,1,1,180,-1,港島 灣仔 莊士敦道26-33号2楼E,9500,12-11-2020,22.2765229,114.1742756026081,1.60514E+12
近香港大學全新開放式住宅連露台單位,屋苑,-1,-1,209,1,63 POKFULAM   港島 薄扶林/海怡 薄扶林道63號,14000,10-11-2020,22.2736747,114.1301285,1.60497E+12
嘉威花園*超筍價2房雅裝連傢俬*即租即住,單棟式大廈,2,2,346,27,港島 上環/中環 般咸道1號,16500,10-11-2020,22.2841792,114.1394252,1.60497E+12
@免佣@銅鑼灣三房,唐樓,3,1,367,-1,港島 銅鑼灣 渣甸街40號,10000,10-11-2020,22.2800093,114.1845275,1.60497E+12
洛克道独立厨厕光猛街窗家电齊全密码街闸,單棟式大廈,-1,-1,120,-1,港島 灣仔 洛克道344号5楼,6700,09-11-2020,22.2805866,114.18252,1.60488E+12
港島西開放式連衣帽間公寓,單棟式大廈,-1,-1,210,25,港島 西區 皇后大道西351-353,12000,03-11-2020,22.2866101,114.1482057,1.60436E+12
四正光猛實用街窗套房,單棟式大廈,-1,-1,100,56,港島 西區 卑路乍街22-24A,6300,03-11-2020,22.2856572,114.1324862,1.60436E+12
筍租 有傢電 送wifi 豪華 近地鐵,單棟式大廈,-1,-1,120,-1,港島 北角 英皇道380號,7500,31-10-2020,22.2895278,114.1947001,1.6041E+12
北角健康村康祥閣港近鐵站巴士站,屋苑,1,1,318,-1,健康村   港島 北角 英皇道668號,12000,26-10-2020,22.2895278,114.1947001,1.60367E+12
西環德輔道西406c傢電套房,單棟式大廈,1,0,150,57,港島 西區 德輔道西406,6500,25-10-2020,22.2883554,114.1480917,1.60358E+12
宏发楼家电齐全多窗干湿分隔厕所密码锁街闸,單棟式大廈,-1,-1,150,-1,港島 灣仔 軒尼詩道341号,7200,23-10-2020,22.2799927,114.1827181,1.60341E+12
銅鑼灣特大套房罕有露台家電齊,唐樓,1,0,200,-1,港島 銅鑼灣 利園山道17號,9600,22-10-2020,22.2793173,114.1834816,1.60332E+12
宏發楼光猛清静家电齐全干湿企缸密码街闸,單棟式大廈,-1,-1,150,-1,港島 灣仔 軒尼詩道341号,7200,20-10-2020,22.2799927,114.1827181,1.60315E+12
*西環平租 齊傢電 特大套房 包WiFi,唐樓,1,0,180,-1,港島 西區 朝光街,7800,16-10-2020,22.2872008,114.1395548,1.60281E+12
*酒店式裝修*1房1廳 315呎，有會所,單棟式大廈,1,1,315,-1,港島 西區 石塘咀南里8號,19800,16-10-2020,22.2853065,114.1351405,1.60281E+12
灣仔旺中靜區近地鐵,唐樓,1,1,120,60,港島 灣仔 活道14號,5700,05-10-2020,22.2739459,114.184492,1.60186E+12
"唐四樓無電梯,裝修新淨合年青人",唐樓,-1,-1,276,-1,港島 筲箕灣 南安閣,10800,24-09-2020,22.27949335,114.22625397228101,1.60091E+12
近時代套房，有廚房，3分鐘到港鐵,唐樓,-1,-1,150,-1,港島 銅鑼灣 波斯富街,7300,23-09-2020,22.281099,114.1821869,1.60082E+12
湾仔道天樂大厦 光猛街窗 清静家电齊全,單棟式大廈,-1,-1,150,-1,港島 灣仔 湾仔道221号,7700,22-09-2020,22.2779207,114.1796555,1.60073E+12
大坑瑆華豪華優質單位出租,單棟式大廈,2,2,610,6,瑆華   港島 銅鑼灣 華倫街9號,34000,17-09-2020,22.2784784,114.1915636,1.6003E+12
西營盤近港鐵站兩房,唐樓,2,1,370,-1,港島 西區 皇后大道西,10500,16-09-2020,22.2866101,114.1482057,1.60021E+12
銅鑼灣波斯富街大套房，近時代廣場,唐樓,-1,-1,200,-1,港島 銅鑼灣 波斯富街,9000,13-09-2020,22.281099,114.1821869,1.59996E+12
精裝套房 包水電煤 求好租客 免佣!,單棟式大廈,1,1,230,-1,港島 銅鑼灣 百德新街,12000,12-09-2020,22.2819639,114.1850067,1.59987E+12
崇光商圈 独立厨厕 家电齊全 对流街窗,單棟式大廈,-1,-1,150,-1,港島 灣仔 轩尼诗道456号12楼,6700,09-09-2020,22.278333,114.177508,1.59961E+12
西環平租特大套房 包WiFi 齊傢電,唐樓,1,0,190,-1,港島 西區 朝光街,7800,09-09-2020,22.2872008,114.1395548,1.59961E+12
銅鑼灣波斯富街，唐樓套房,唐樓,-1,-1,100,-1,港島 銅鑼灣 波斯富街,5500,08-09-2020,22.281099,114.1821869,1.59952E+12
