name,building_type,no_rooms,no_hall,area,age,address,price,date,lat,lon,timestamp
"靚裝,環境寧謐",屋苑,3,2,1353,-1,港島 中半山/金鐘 麥當勞道60-62號,55000,07-05-2021,22.2753366,114.1572379,1.62035E+12
"近地鐵站,洋樓有傢俱優質大套房",單棟式大廈,-1,-1,110,-1,港島 灣仔 瑞祥大廈,4900,07-05-2021,22.274266750000002,114.17344154218198,1.62035E+12
豪華靚裝，傢電齊,單棟式大廈,1,1,180,-1,港島 銅鑼灣 加路連大樓,8500,07-05-2021,22.277587099999998,114.18653239410723,1.62035E+12
~銅鑼灣雅裝套房~傢俱齊近地鐵~,單棟式大廈,-1,-1,160,-1,港島 銅鑼灣 駱克道,7600,07-05-2021,22.2799917,114.181096,1.62035E+12
求好租客 獨家代理,屋苑,1,1,246,33,港島 筲箕灣 筲箕灣道289-293,11900,07-05-2021,22.2833265,114.2208723,1.62035E+12
"品味裝修,單身貴族首選,歡迎大包租",單棟式大廈,-1,-1,160,-1,港島 天后/大坑 英皇道55號,7500,07-05-2021,22.281859,114.1914706,1.62035E+12
"舒適套房 , 配基本傢電 , 光線充足",單棟式大廈,-1,-1,160,-1,港島 天后/大坑 英皇道55號,8500,07-05-2021,22.281859,114.1914706,1.62035E+12
"灣仔套房出租, 免佣金",屋苑,-1,-1,100,-1,港島 灣仔 光裕樓,5200,07-05-2021,22.27745565,114.17385504703245,1.62035E+12
灣仔核心2房巨廳企理裝修,單棟式大廈,2,1,405,-1,港島 灣仔 軒尼詩道323號,13500,07-05-2021,22.2801455,114.1848329,1.62035E+12
"鄰近地鐵站,北歐豪裝,齊電器,業主免佣",唐樓,1,0,286,28,港島 西區 世安樓,13900,07-05-2021,22.282834,114.12879587561189,1.62035E+12
~近時代 雅裝兩房 新厨廁~,單棟式大廈,2,1,328,-1,港島 灣仔 堅拿道西,11500,07-05-2021,22.276709,114.1809955,1.62035E+12
~豪華靚裝 ，高層山景，罕有放盤~,單棟式大廈,2,1,645,-1,港島 銅鑼灣 嘉柏大廈,28000,07-05-2021,22.2774783,114.18359673395582,1.62035E+12
近銅鑼灣地鉄2房多窗雅裝,單棟式大廈,2,1,386,-1,港島 灣仔 洛克道402號,14500,07-05-2021,22.2794613,114.179676,1.62035E+12
太子台唐楼可作Home Office,唐樓,1,1,338,-1,港島 西半山 6 Prince's Terrace,11993,07-05-2021,22.2812216,114.1514489,1.62035E+12
時代廣場旁 三房兩廁 清雅裝修,單棟式大廈,3,2,392,-1,港島 灣仔 堅拿道西,16700,07-05-2021,22.276709,114.1809955,1.62035E+12
"西營盤新套房, 免佣",屋苑,-1,-1,130,-1,港島 西區 桂香街 21-23號,4800,07-05-2021,22.2868909,114.1430115,1.62035E+12
近銅鑼灣~3房~,屋苑,3,1,439,-1,港島 灣仔 寶靈頓道,16000,07-05-2021,22.2783107,114.1806489,1.62035E+12
灣仔近地鐵 特大套房 全傢電新修 有匙睇..,單棟式大廈,-1,-1,180,-1,港島 灣仔 祐德大廈,7800,07-05-2021,22.278394050000003,114.17377937513751,1.62035E+12
~灣仔新裝套房~向內清静~,單棟式大廈,-1,-1,130,-1,港島 灣仔 駱克道,6200,07-05-2021,22.2794613,114.179676,1.62035E+12
傢電齊，近地鐵有電梯，海景,單棟式大廈,-1,-1,150,-1,港島 西區 德輔道西西,5200,07-05-2021,22.2878064,114.1475616,1.62035E+12
企理超筍靚套房,單棟式大廈,1,0,150,48,港島 灣仔 灣仔道221號,5000,07-05-2021,22.2779207,114.1796555,1.62035E+12
時代廣場旁 兩房清雅裝修,單棟式大廈,2,1,374,-1,港島 灣仔 堅拿道西,14500,07-05-2021,22.276709,114.1809955,1.62035E+12
"**高層,靚裝修,傢電齊全**",單棟式大廈,-1,-1,370,-1,港島 灣仔 灣仔道,16000,07-05-2021,22.2779207,114.1796555,1.62035E+12
近利舞台月華大厦3房2厠巨廳開揚山景,單棟式大廈,3,2,773,-1,港島 銅鑼灣 禮頓道28號,29000,07-05-2021,22.2770275,114.1820964,1.62035E+12
炮台山 ---平租宿舍 房間 有齊家电,屋苑,1,0,60,-1,港島 天后/大坑 294 King's Road,3500,07-05-2021,22.281859,114.1914706,1.62035E+12
"近地鐵站,唐樓雅裝,獨立門口開放式",唐樓,-1,-1,230,-1,港島 北角 渣華道,8800,07-05-2021,22.2925655,114.2013941,1.62035E+12
"近地鐵站,洋樓雅裝,優質大套房",單棟式大廈,-1,-1,110,-1,港島 灣仔 新基大廈,5300,07-05-2021,22.2774033,114.17050803978621,1.62035E+12
免佣中環租庇利街-服務式住宅,屋苑,-1,-1,120,-1,港島 上環/中環 租庇利街,7000,07-05-2021,22.2845713,114.1557425,1.62035E+12
近世纪酒店開放式全新雅裝最合2人世界,單棟式大廈,-1,-1,189,-1,港島 灣仔 謝斐道208號,10500,07-05-2021,22.2798375,114.1794043,1.62035E+12
"**靚裝修,傢電齊全**",單棟式大廈,-1,-1,160,-1,港島 灣仔 灣仔道,7900,07-05-2021,22.2779207,114.1796555,1.62035E+12
"位置便利, 景觀開揚",屋苑,3,0,626,-1,港島 西半山 摩羅廟交加街17-27號,28000,07-05-2021,22.2799429,114.1512475,1.62035E+12
品味裝修開揚開放式 傢俱齊備,單棟式大廈,-1,-1,222,-1,港島 銅鑼灣 波斯富街,12000,07-05-2021,22.281099,114.1821869,1.62035E+12
**灣仔近合和高層2房靚裝修光猛多窗**,單棟式大廈,2,2,444,-1,港島 灣仔 金港大廈,21000,07-05-2021,22.27601575,114.17048068161183,1.62035E+12
高層 蘇豪西中心 扶手電梯直達,單棟式大廈,2,1,386,-1,港島 西區 康福閣,16000,07-05-2021,22.28922705,114.20436936132418,1.62035E+12
"**靚裝修,傢電齊全**",單棟式大廈,-1,-1,150,-1,港島 銅鑼灣 駱克道,7300,07-05-2021,22.2799917,114.181096,1.62035E+12
"金山閣, 獨立單位, 即走",屋苑,-1,-1,221,-1,港島 北角 金山閣,9800,07-05-2021,22.45497705,114.16660669811745,1.62035E+12
1房靚裝 近地鐵,屋苑,1,1,254,-1,港島 柴灣 永利中心,11500,07-05-2021,22.2636699,114.23857514799028,1.62035E+12
灣仔核心商業區近金鐘1房1廳方便上班族群,單棟式大廈,1,1,190,-1,港島 灣仔 莊士敦道33號,8300,07-05-2021,22.2778068,114.1768163,1.62035E+12
罕有放租 購物方便,屋苑,2,2,449,38,港島 柴灣 怡翠苑,16000,07-05-2021,22.2648182,114.2387796,1.62035E+12
海景山景 環境清幽,屋苑,2,2,379,42,港島 柴灣 山翠苑,13000,07-05-2021,22.2692519,114.23336029963097,1.62035E+12
"全新裝修,傢電齊,有電梯,光窗",單棟式大廈,-1,-1,130,49,港島 灣仔 堅拿道西,7200,07-05-2021,22.276709,114.1809955,1.62035E+12
平租大套房，獨立門口，高層山景,屋苑,-1,-1,200,-1,港島 灣仔 鴻業大廈,8800,07-05-2021,22.2780815,114.1793086857227,1.62035E+12
2房2廁 靚裝修單邊窗,單棟式大廈,2,1,437,-1,港島 灣仔 安東大廈,18000,07-05-2021,22.275781799999997,114.17141220218912,1.62035E+12
~近時代~平租開揚雅裝套房~*唐二樓*,單棟式大廈,-1,-1,140,-1,港島 灣仔 堅拿道西,5500,07-05-2021,22.276709,114.1809955,1.62035E+12
~近時代~平租開揚雅裝套房~*唐二樓*,單棟式大廈,-1,-1,140,-1,港島 灣仔 堅拿道西,5500,07-05-2021,22.276709,114.1809955,1.62035E+12
免佣金業主盤灣仔開揚套房傢電全齊即租即住,單棟式大廈,-1,-1,120,57,港島 銅鑼灣 加寧街9-11號 華高大廈,7500,07-05-2021,22.28222855,114.1854109264151,1.62035E+12
首月體驗1800銅鑼灣地鐵口豪華太空艙,單棟式大廈,2,1,563,-1,港島 銅鑼灣 時代廣場,1800,07-05-2021,22.278307050000002,114.18209845478137,1.62035E+12
上環中層 望到海,單棟式大廈,1,1,250,-1,港島 上環/中環 啟發大廈,9800,07-05-2021,22.287962999999998,114.14831700875845,1.62035E+12
